idiom,definition
now or never,"(idiomatic, set phrase) At this sole opportunity, or not at all."
nowhere to be found,(idiomatic) not present; missing or lost.
null and void,"(idiomatic, law) invalid, cancelled, unenforceable"
number one,"(idiomatic) First; foremost; best, often used after its headword."
nut out,"(idiomatic, Australia, New Zealand) To find a solution for, to work out the finer details, especially in a group discussion. (idiomatic, US) To become crazy, especially with rage."
nuts and bolts,(idiomatic) The basic inner workings of something; the fundamentals; that which makes something operate.
odds and ends,(idiomatic) Miscellaneous things.
of course,"(now rare, except in matter of course) That is part of ordinary behaviour or custom; customary, natural. [from 16th c.]"
off and on,"(idiomatic) Intermittently. (nautical) On different tacks, now toward, and now away from, the land."
off and running,(idiomatic) Launched or launching vigorously into a course of action.
off board,Pertaining to items or equipment that is discrete or separate instead of being integrated or contained within.
off chance,(idiomatic) A possibility that is not likely or probable.
off the deep end,"(idiomatic) Crazy, erratic, or irrational."
off the grid,"(of a home, business, or the occupants thereof) Not using electricity from the public electrical supply system. Not connected to a publicly available communication system, such as the world-wide web or a mobile telephone network. (idiomatic) Isolated; in a remote location; in seclusion; not participating in some official process or system."
off the hook,"(idiomatic) Relieved of a duty, burden, responsibility, or pressure."
off-color,"Of the wrong color. (idiomatic) Dirty, vulgar or obscene, especially in a way that is unpleasant. (idiomatic) Different than usual. (idiomatic) Feeling mildly unwell."
off-kilter,(idiomatic) Askew.
off-roader,(idiomatic) A vehicle that is designed to drive off the road.
off-the-cuff,(idiomatic) Extemporaneous; without prior preparation; spontaneous; impromptu.
off-the-shelf,"(idiomatic) As purchased or as commonly available, without modification or customization."
off-the-wall,(idiomatic) Wildly unconventional; bizarre; absurd. (idiomatic) Of a person's behaviour: greatly inappropriate.
offer one's condolences,(idiomatic) To offer sympathy to someone who has recently experienced the loss of a loved one.
offer up,"(transitive, idiomatic) to give (thanks, praise) to God (transitive, idiomatic) to sacrifice (transitive, idiomatic) to provide (something great)"
oh my,"(idiomatic, euphemistic, chiefly  US and Canada) oh my God"
oh my goodness,Alternative form of my goodness
oh my gosh,"(idiomatic, chiefly US, euphemistic) oh my God!"
oh well,"(idiomatic) An expression of mild disappointment or resignation; too bad, it's a pity."
oil and water,(idiomatic) Two things which are incapable of mixing or coexisting harmoniously with each other.
oil burner,A heating device which burns fuel oil; an oil furnace. A machine that uses oil as its fuel. (idiomatic) A device whose operation causes apparent combustion of lubricating oil.
old boy network,"(idiomatic) A presumed unacknowledged system of association between childhood friends (especially those at school or university together), used for mutual assistance or favouritism."
old chestnut,(idiomatic) A well-worn story.
old enough to vote,"Used other than with a figurative or idiomatic meaning: see old,‎ enough,‎ vote. (idiomatic, humorous, informal) old; decrepit."
old fart,"(derogatory, idiomatic) An elderly person who holds old-fashioned views."
old flame,"(idiomatic) A previous girlfriend or boyfriend; a former romantic partner, especially one for whom one still has romantic feelings."
old hand,(idiomatic) A person who is experienced at a certain activity.
old hat,"(idiomatic) Something with which one is very familiar; something very common, hackneyed or out of date. [from 20th c.] (now  rare, archaic) The vulva; (by extension) sexual intercourse."
old money,"(idiomatic, often derogatory) Families that have been wealthy for generations or members of such families. (Britain, Ireland) The monetary system used in the United Kingdom and Ireland before decimalisation in 1971 and consisting of pounds, shillings, pence and farthings. (humorous) The imperial system of measurement, as opposed to the metric system."
old saw,"(idiomatic) a cliché, saying, or overused expression; especially a proverb or maxim"
old school,"(informal, idiomatic) Characteristic of a style, outlook, or method employed in a former era, remembered either as inferior to the current style, or alternately, remembered nostalgically as superior or preferable to the new style, the older denoting something that would be considered out of date or out of fashion to some, but as such, is considered by others as cool and hip."
old town,"Used other than with a figurative or idiomatic meaning: see old,‎ town. The historic district of a city or town."
old woman,"(literally) An elderly woman. (countable, informal, derogatory) A person (irrespective of age or sex) who is always complaining about his or her situation. (countable, informal, slang) One's wife. (countable, informal, slang) One's mother. (uncountable) The plant sea wormwood."
older adult,"(euphemistic) An old person. Used other than with a figurative or idiomatic meaning: see older,‎ adult."
older brother,"Used other than with a figurative or idiomatic meaning: see older,‎ brother. (This entry is a translation hub.)"
older sister,"Used other than with a figurative or idiomatic meaning: see older,‎ sister. (This entry is a translation hub.)"
